subjects,isSpeed,jitter,abs_error,R,rt
1,1,45,0.097608,0.097608,0.54599
1,1,15,0.169324,0.169324,0.55375
1,1,45,1.54862,1.54862,0.62615
1,1,15,0.061358,0.061358,0.49406
1,1,45,0.30526,-0.30526,0.55783
1,1,30,0.21992,-0.21992,0.5678
1,1,45,1.8447,-1.8447,0.64245
1,1,30,0.34588,0.34588,0.5331
1,1,15,0.4793,-0.4793,0.51398
1,1,15,0.49282,-0.49282,0.56502
1,1,45,0.35238,-0.35238,0.57603
1,1,15,0.83418,-0.83418,0.53066
1,1,15,0.174398,-0.174398,0.52107
1,1,45,2.265,-2.265,0.5928
1,1,30,0.060082,-0.060082,0.60827
1,1,30,0.160186,0.160186,0.63496
1,1,30,0.41302,0.41302,0.71624
1,1,15,0.023404,0.023404,0.54155
1,1,15,0.144678,-0.144678,0.5138
1,1,45,0.9186,-0.9186,0.54741
1,1,45,3.0232,3.0232,0.69941
1,1,15,0.132386,-0.132386,0.68555
1,1,30,0.55792,0.55792,0.7345
1,1,30,1.06522,1.06522,0.67543
1,1,30,0.47944,-0.47944,0.55288
1,1,45,1.48144,-1.48144,0.54899
1,1,30,0.40178,0.40178,0.55694
1,0,30,0.54202,-0.54202,0.65183
1,0,15,0.45294,-0.45294,0.68628
1,0,15,0.085468,0.085468,0.80525
1,0,15,0.27284,0.27284,0.78217
1,0,45,0.34268,0.34268,0.75224
1,0,45,0.61434,-0.61434,0.94644
1,0,45,0.99422,0.99422,1.1129
1,0,15,0.24572,0.24572,0.74406
1,0,45,0.91848,0.91848,1.2966
1,0,15,0.2343,0.2343,2.499
1,0,15,0.130138,0.130138,0.72515
1,0,45,2.9554,-2.9554,1.0725
1,0,30,0.57068,0.57068,0.75221
1,0,30,0.53568,0.53568,0.75538
1,0,45,0.34086,-0.34086,0.75981
1,0,30,0.024442,-0.024442,0.73794
1,0,15,0.34484,0.34484,0.71869
1,0,30,0.188934,0.188934,0.70503
1,0,30,0.18422,0.18422,0.74686
1,0,45,0.7103,0.7103,0.80741
1,0,15,0.29588,-0.29588,0.65018
1,0,15,0.075424,-0.075424,0.71816
1,0,15,0.09146,-0.09146,0.78421
1,0,45,1.5102,1.5102,0.98081
1,0,30,0.3636,0.3636,0.8244
1,0,30,0.105192,-0.105192,0.98068
1,0,30,0.16425,-0.16425,1.0454
1,0,45,0.3994,-0.3994,1.4945
1,0,45,1.0209,-1.0209,0.76525
1,0,30,0.3357,-0.3357,0.71442
1,1,30,0.40732,-0.40732,0.58965
1,1,15,0.035952,-0.035952,0.59683
1,1,15,0.022932,-0.022932,0.55987
1,1,15,0.77142,0.77142,0.57397
1,1,30,0.133614,0.133614,0.62402
1,1,15,0.167922,0.167922,0.61168
1,1,15,0.11313,0.11313,0.58488
1,1,15,0.19933,-0.19933,0.69403
1,1,45,1.39096,1.39096,0.57397
1,1,45,0.1501,-0.1501,0.73303
1,1,45,0.85832,-0.85832,0.55707
1,1,30,0.2566,0.2566,0.62686
1,1,30,0.2501,0.2501,0.64706
1,1,30,0.58092,0.58092,0.57815
1,1,45,1.13964,-1.13964,0.82132
1,1,30,0.34126,-0.34126,0.65297
1,1,45,1.20766,1.20766,0.58697
1,1,15,0.128778,-0.128778,0.60028
1,1,45,0.26926,-0.26926,0.63893
1,1,30,0.21496,0.21496,0.70498
1,1,45,1.17468,-1.17468,0.64032
1,1,30,0.11866,-0.11866,0.63499
1,1,45,0.22788,0.22788,0.65986
1,1,15,0.078038,0.078038,0.67591
1,1,45,2.6574,-2.6574,1.2736
1,1,30,0.2938,0.2938,0.99555
1,1,15,0.26898,0.26898,0.65155
1,1,15,0.0100646,0.0100646,0.70899
1,1,45,1.36078,-1.36078,1.2013
1,1,30,0.58876,-0.58876,0.91109
1,1,30,3.0158,3.0158,1.1184
1,1,15,0.177236,0.177236,0.56409
1,1,15,0.26446,-0.26446,0.61279
1,1,45,1.09224,1.09224,0.7508
1,1,30,0.36782,-0.36782,0.55798
1,1,45,0.10469,0.10469,0.67061
1,1,15,0.57898,-0.57898,0.63766
1,1,45,0.31202,-0.31202,0.79595
1,1,30,0.128016,0.128016,1.1781
1,1,30,0.30514,0.30514,0.67118
1,1,30,0.31972,0.31972,0.6309
1,1,45,1.77744,1.77744,1.1603
1,1,45,1.51122,-1.51122,0.58583
1,1,30,1.36648,-1.36648,0.59355
1,1,45,0.77938,0.77938,0.60996
1,1,30,0.158332,0.158332,0.64063
1,1,30,1.46314,-1.46314,0.6362
1,1,45,1.35608,-1.35608,0.67478
1,1,30,0.43826,0.43826,0.60813
1,1,45,0.47024,-0.47024,0.5997
1,1,15,0.064374,-0.064374,0.66298
1,1,15,0.025028,-0.025028,0.67989
