subjects,block_number,trial_number,stim_mean,stim_sd,estimation,abs_estimation_error,rt,R
39,4,55,60,6,97.568885810357,37.56888581035698,2.046,2.189440677719707
39,4,56,80,24,107.1204641063737,27.120464106373703,1.784,2.4037775934693766
39,4,57,80,16,87.29212892858418,7.292128928584176,2.563,1.9588307925589505
39,4,58,60,6,91.58997602304989,31.58997602304987,1.859,2.055274255831992
39,4,59,60,18,86.40515294898044,26.405152948980454,2.041,1.9389270981201385
39,4,60,100,20,96.28621732704671,3.713782672953272,1.796,2.16065766426143
40,1,1,40,8,54.79844041262767,14.79844041262767,2.928,1.2296741273463507
40,1,2,80,8,88.04334817728534,8.043348177285338,3.065,1.9756881130800565
40,1,3,40,8,80.76787105124967,40.76787105124967,3.299,1.812426788147812
40,1,4,40,12,54.82342042393255,14.823420423932546,2.529,1.2302346774892223
40,1,5,100,20,102.79569143176404,2.795691431764056,1.721,2.3067299215908084
40,1,6,100,10,101.93653626811825,1.936536268118246,1.966,2.287450524802213
40,1,7,80,24,85.1888862417122,5.188886241712197,1.896,1.9116341370318546
40,1,8,60,12,76.49502974737305,16.495029747373053,1.34,1.7165444535034278
40,1,9,100,20,100.1318606515742,0.1318606515742146,1.224,2.24695369866616
40,1,10,100,10,89.73343691907793,10.266563080922054,1.583,2.0136136157595597
40,1,11,40,4,48.24938482348895,8.249384823488953,1.665,1.0827136635835697
40,1,12,100,20,111.24157027185116,11.24157027185116,1.075,2.496254999570288
40,1,13,80,16,85.1200270885851,5.12002708858509,1.297,1.9100889412490227
40,1,14,60,12,70.41071080470472,10.41071080470472,2.938,1.5800126557006846
40,1,15,40,8,36.164790463687126,3.8352095363128735,1.534,0.8115360002809549
40,1,16,80,24,86.27461246827555,6.274612468275564,1.432,1.9359977765831489
40,1,17,40,4,64.68594091756952,24.685940917569525,1.61,1.4515491198369987
40,1,18,80,24,83.30212253148893,3.30212253148892,2.166,1.8692952583811602
40,1,19,60,18,73.43670480766262,13.43670480766262,1.344,1.6479158023399654
40,1,20,60,12,82.15052242655673,22.150522426556737,3.245,1.8434534124559583
40,1,21,80,24,73.08971906503268,6.910280934967304,1.471,1.6401294604832037
40,1,22,40,12,55.78976181993868,15.789761819938676,1.936,1.251919327707455
40,1,23,80,8,88.8912905831888,8.891290583188805,1.146,1.9947158961732963
40,1,24,60,6,77.42710416679871,17.427104166798728,1.676,1.737460154565332
40,1,25,100,10,96.20338585354273,3.796614146457273,1.253,2.1587989303425292
40,1,26,80,8,58.15261263437232,21.84738736562768,0.944,1.3049415759942646
40,1,27,60,18,74.8642476897171,14.864247689717104,1.873,1.6799497897038709
40,1,28,100,10,88.0705044104051,11.929495589594891,4.963,1.9762974975262582
40,1,29,80,16,76.03023701354998,3.9697629864500072,1.344,1.7061145289461386
40,1,30,100,20,103.26464197153368,3.2646419715336776,1.195,2.3172531470953603
40,1,31,100,10,84.33829352894301,15.661706471056988,1.936,1.892546881191621
40,1,32,60,6,74.97696626573568,14.976966265735667,2.431,1.6824791886348924
40,1,33,80,8,90.9408054360018,10.940805436001796,1.363,2.0407069019234427
40,1,34,100,30,108.00454223339491,8.004542233394913,1.007,2.4236162602483
40,1,35,80,16,86.27461246827555,6.274612468275564,1.115,1.9359977765831489
40,1,36,60,12,71.24330662764139,11.243306627641388,1.124,1.5986960622774515
40,1,37,60,18,63.49928009934948,3.499280099349477,5.666,1.4249205133454061
40,1,38,40,12,23.832769051135767,16.167230948864226,2.372,0.5348060868982165
40,1,39,40,4,36.164790463687126,3.8352095363128735,1.348,0.8115360002809549
40,1,40,100,30,101.7841444870964,1.7841444870964125,1.448,2.2840308612327433
40,1,41,80,24,89.6008739464839,9.600873946483915,1.098,2.0106389096107065
40,1,42,60,6,60.721638306597626,0.7216383065976258,1.704,1.3625903772710262
40,1,43,100,30,96.36368510484144,3.6363148951585345,1.109,2.1623960371300717
40,1,44,100,20,96.42988140800368,3.5701185919963048,0.972,2.163881478699424
40,1,45,60,12,79.63432303740369,19.634323037403703,1.218,1.7869900301993134
40,1,46,60,6,42.2865691757554,17.713430824244597,1.148,0.9489083933433554
40,1,47,40,8,28.15422685973462,11.84577314026538,1.099,0.6317793733574479
40,1,48,60,6,22.46126841382056,37.53873158617944,1.57,0.5040296845654795
40,1,49,80,16,76.86372105153339,3.136278948466611,1.189,1.7248178670219458
40,1,50,40,4,20.84509384763919,19.15490615236081,1.259,0.4677628121080934
40,1,51,80,8,47.90703055175102,32.09296944824898,1.39,1.0750312516905913
40,1,52,40,12,21.405910918220936,18.59408908177906,1.105,0.48034751774343165
40,1,53,40,8,48.14163084577943,8.14163084577943,1.955,1.080295669978089
40,1,54,60,18,76.83301011391441,16.833010113914412,1.079,1.724128715193313
40,1,55,40,12,23.1349076754072,16.865092324592794,1.227,0.5191461142466954
40,1,56,60,18,46.12794442699196,13.87205557300804,1.156,1.0351086524074011
40,1,57,40,4,34.853891067599406,5.146108932400594,3.151,0.7821194866213514
40,1,58,100,30,86.43459421945516,13.56540578054482,1.274,1.9395877586846797
40,1,59,80,16,73.5262820024368,6.473717997563199,1.703,1.6499259098901922
40,1,60,100,30,82.90963675000678,17.090363249993203,1.222,1.8604878980401403
40,2,1,60,6,54.593395613939265,5.406604386060735,1.017,1.2250729328233774
40,2,2,100,20,81.26100051874185,18.738999481258148,0.534,1.823492587521684
40,2,3,40,4,52.593228292926085,12.593228292926083,1.817,1.1801892830973388
40,2,4,100,10,102.2009581313738,2.200958131373809,1.016,2.2933841375383
40,2,5,80,24,65.51795219931722,14.482047800682778,1.802,1.4702194093401586
40,2,6,40,4,47.54539647992317,7.545396479923172,1.499,1.0669162020952903
40,2,7,80,24,75.91952626033395,4.080473739666033,1.031,1.7036301854534468
40,2,8,80,8,69.59117308387094,10.408826916129058,1.457,1.5616222722498907
40,2,9,60,12,72.04275994089728,12.042759940897284,1.498,1.616635752676114
40,2,10,40,4,55.5977705263187,15.597770526318696,1.265,1.2476110531532425
40,2,11,60,6,72.2467056498823,12.246705649882315,1.172,1.6212122836838172
40,2,12,60,12,70.61321887079134,10.613218870791345,0.934,1.5845569260771875
40,2,13,60,18,66.39463955685835,6.394639556858351,1.055,1.4898922276397748
40,2,14,100,10,71.86435552338418,28.135644476615823,1.389,1.612632366908777
40,2,15,40,8,58.62820911995851,18.628209119958512,1.214,1.3156139361741983
40,2,16,80,8,65.53828136577178,14.46171863422822,1.017,1.470675594768639
40,2,17,40,12,65.53828136577178,25.53828136577178,1.001,1.470675594768639
40,2,18,100,30,75.242265853963,24.757734146036995,0.989,1.688432497473288
40,2,19,100,20,76.12203039531725,23.87796960468276,1.468,1.7081743676161971
40,2,20,60,18,64.06699470222,4.066994702220001,0.968,1.437659999243361
40,2,21,80,16,72.72924290226176,7.27075709773824,1.098,1.6320403943063797
40,2,22,40,4,46.23213227834175,6.232132278341752,0.961,1.0374466223245
40,2,23,40,8,48.49757471709816,8.49757471709816,3.422,1.088283031772555
40,2,24,100,10,92.33553456631928,7.664465433680703,0.982,2.0720045504202504
40,2,25,40,12,53.34546818621656,13.345468186216564,1.532,1.1970695068294712
40,2,26,100,30,97.61672473673384,2.3832752632661425,1.46,2.1905141807172863
40,2,27,60,18,65.09128066379067,5.09128066379067,1.171,1.460644922472258
40,2,29,80,16,86.13584021442396,6.135840214423978,1.039,1.9328837344887042
40,2,30,60,6,64.1753006209516,4.175300620951603,1.719,1.4400903783764145
40,2,31,60,12,72.45055721032381,12.450557210323808,1.355,1.6257867020031447
40,2,32,40,8,52.45265026060797,12.452650260607967,0.933,1.1770347194288624
40,2,33,80,16,96.43368552972956,16.43368552972956,1.183,2.1639668429913335
40,2,34,80,24,82.59791785478933,2.59791785478933,1.495,1.8534929423887099
